pathway,pval,padj,log2err,ES,NES,size,leadingEdge,topGenes
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP,0.0135259269392925,0.0378074102399502,0.380730400722792,0.594237529331446,1.15506477878846,196,UCK2|SERPINB9|EMP3|DCK|NR4A1|ANXA1|KIF4A|EMP1|BUB1|GEM|YBX3|TUBA1C|KIF2C|S100A10|DBI|TTK|ITGAX|ISG20|ASPM|CDC25C|TYROBP|EGR1|DHFR|ASF1B|ATP5IF1|MAPK6|IFI27L2|CDC45|ATP6V1A|PRDX4|ROM1|CCNA2|KIF20A|CCNF|MT2A|VPS45|KPNA2|CENPA|ANXA2|TK1|MYADM|CDKN3|STMN1|BHLHE40|DOCK5|CDC20|DLGAP5|TMPO|LITAF|MCM10|PCLAF|MKI67|RRM2|NEK2|TOP2A|ANLN|UBE2T|GMNN|SMARCC1|KIF22|RAN|PLAC8|TCF19|PERP|CDCA8,"UCK2, SERPINB9, EMP3, DCK, NR4A1"
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN,0.00173957079221963,0.00908380375101183,0.45505986738723,0.619134707559719,1.20366469149218,194,SOCS2|SERPINB9|EMP3|FHL2|TMEM37|ANXA1|KIF4A|PRDM1|TNFRSF9|EMP1|BUB1|RHOQ|JCHAIN|GEM|KLRK1|KIF2C|S100A10|ERRFI1|TTK|ITGAX|GNPDA1|ASPM|ARHGAP21|CDC25C|DHFR|ASF1B|VCL|ATP5IF1|MAPK6|PLIN2|CDC45|PRDX4|ROM1|UNC119|CCNA2|KIF20A|CCNF|HPF1|MDFIC|SH3BGRL|MT2A|PLD4|S100A6|CENPA|ANXA2|TK1|MYADM|CDKN3|STMN1|BHLHE40|DOCK5|DLGAP5|CCR5|LITAF|MCM10|CD48|PCLAF|CAPN2|CISH|MKI67|TBL2|NEK2|TOP2A|RAB11A|ANLN|UBE2T|GMNN|FCER1G|KIF22|TCF19|PERP|CDCA8,"SOCS2, SERPINB9, EMP3, FHL2, TMEM37"
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN,0.0130775583106524,0.0368501238227291,0.380730400722792,0.590874955134385,1.14869447993037,193,SOCS2|IL18R1|SERPINB9|DENND5A|ANTXR2|TMEM37|RPGR|ANXA1|RASA4|PRDM1|EMP1|CYB5R4|DAPK2|SLC35E4|KLRK1|IL15RA|S100A10|ERRFI1|ITGAX|GK|DNAJC5|KLRC1|CRYBG1|TMEM141|CRTAM|MDFIC|S100A6|AHNAK|TRAF3IP2|ANXA2|TK1|MYADM|FCGRT|BHLHE40|PLAT|MED10|CTNNA1|DOCK5|CCR5|LITAF|CCL5|GOLIM4|CAPN2|SEMA4A|CISH,"SOCS2, IL18R1, SERPINB9, DENND5A, ANTXR2"
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP,0.00197941884935215,0.00996252958062362,0.431707695803346,0.615985743277243,1.19751127860453,193,ST3GAL1|UCK2|PLAUR|GGT5|CYTIP|MPP1|FRMD6|PPRC1|PHTF2|ADPGK|MAP4K4|CCR7|PNPT1|BZW2|EZR|EHD1|TUBA1C|IL6ST|PDLIM4|SRM|SNRK|MGST2|ISG20|ILF3|ST6GAL1|UTP20|MAP4K2|APEX1|RAB3IP|EGR1|RMND1|NTPCR|MFHAS1|MINPP1|LEF1|IFI27L2|DAP|ATP6V1D|SESN1|SEC11C|TBCEL|CCT5|TCOF1|CCR9|TEC|NFIX|HSPB11|SPRED2|HDAC2|DDIT4|MAP7|PRPS2|RCAN3|GUCD1|HIF1A|TOP2A|CDIP1|UBA2|PLAC8|PPP2R5A|RPRD1A|SRSF6|EXT1|TSPAN13|LDLR|ARHGAP39|ELOVL6|ADCY6|PRKCB|RPS6KA2|PIGA|ADK|SFMBT2|ADGRL1|TUBA1A|RFLNB|TTC3,"ST3GAL1, UCK2, PLAUR, GGT5, CYTIP"
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP,0.00859388556192205,0.0274014466346101,0.380730400722792,0.609022389175487,1.17539610881175,147,FBLN1|GPR183|SFRP1|NLK|IL7R|GRAMD2B|EPAS1|JAK1|MAP3K3|ABTB2|ACYP1|INO80|MAMDC2|MPND|NEMP2|KLHL18|GALNT2|IKZF1|SLC38A2|ZFYVE27|ATP8A1|USP53|GPCPD1|RFX6|LEF1|ZNF318|BMP5|BRPF1|GTPBP1|CFHR3|SIDT1|PIAS2|DZIP1|HPCAL1|S1PR1|EIF4A2|JAKMIP1|NELFCD|CYP39A1|FXYD5|TBRG4,"FBLN1, GPR183, SFRP1, NLK, IL7R"
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN,0.00111370095120655,0.00661701345643695,0.45505986738723,0.620435605616494,1.20616754383004,197,PTGER2|PHLDA1|SERPINB9|STX11|IL1R2|PRDM1|CDKN1A|GABPB1|FAM185A|SDCBP2|ZNF503|RANBP1|GEM|YBX3|HK2|PDSS1|DECR1|TUBB4B|PARPBP|SNRPA1|GNPDA1|ACSM1|BUB1B|ALDH7A1|SRSF2|PRMT1|DHFR|KLRC1|ATP5IF1|MAPK6|PLIN2|CCNA2|TSPAN33|MELK|LRP8|MDFIC|KPNA2|RFWD3|DUT|DDX39A|PGRMC1|ANXA2|DUSP4|TK1|NRAS|APOO|SLC25A13|STMN1|CDC20|EHD4|GIMAP7|LITAF|EXO1|PCLAF|NEIL3|GINS1|OXSR1|ATP2A2|PBK|ORC1|UBA2|DESI2|KIF22|RAN|ARL6|CDCA8|ZNF367|FRMD4B|MCM4,"PTGER2, PHLDA1, SERPINB9, STX11, IL1R2"
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN,0.0187745797146894,0.047393654077703,0.352487857583619,0.588724592073809,1.14439380589612,195,RPH3AL|DIO2|STX11|PTPN3|KIF4A|SLC43A3|PRDM1|CDKN1A|EPAS1|SDCBP2|NRP2|ZNF503|RANBP1|GEM|SPAG5|HK2|PDSS1|CMSS1|TTK|GNPDA1|DUSP19|AKIP1|ATP5IF1|PLIN2|HMMR|SNRPD3|UBASH3B|PRDX4|MICAL2|TSPAN33|MELK|LRP8|OSBPL3|MT2A|KPNA2|RFWD3|PGRMC1|ETFB|ANXA2|DUSP4|TK1|STMN1|NDE1|CDC20|SLAMF7|CCR5|CAPN2|NEIL3|SNRNP40|DERA|PBK|NEK2|PALS2|ANLN|SLC22A15|KIF22|ARL6|GRIA2|CDCA8|EME1|FRMD4B|MCM4,"RPH3AL, DIO2, STX11, PTPN3, KIF4A"
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP,0.00620920493562729,0.022145861234536,0.407017918923954,0.603050622624324,1.17236999571164,197,RASGRP1|SOCS3|FAS|DNMBP|ACP6|TCF7|ARL4C|PCYT2|STX1A|B3GALNT2|PIGV|CHST15|IL6ST|SCP2|IGFBP4|KLF13|IER5|NXF1|HLA-E|APPL2|SH3GL1|NTPCR|ADAL|BACH2|RNF130|STK4|RPL27A|THYN1|CARD6|SH3BP5|ZBTB26|TXNIP|VPS37B|ARID5A|HAGH|TMEM108|DZIP1|INHBB|TOM1L2|RIOK2|ID3|UBLCP1|ACVR1B|CD53|COX7A2L|AFG1L|CD247|TCN2|OCEL1|UBN2|ZNF710|CDIP1|MLYCD|TMEM71|UST|TGIF2|ARHGAP39|TNFRSF1A|MTERF4|SLC49A4|IL6R|UBN1|EEF1B2|MEA1|VEGFB|RFLNB|UBAC2|RHOA|ZNF622|LAT|SNHG12,"RASGRP1, SOCS3, FAS, DNMBP, ACP6"
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN,0.00524251498949909,0.0198303827863661,0.407017918923954,0.603938333187172,1.17402722565067,198,HADH|DENND5A|BASP1|HBEGF|DHX33|PPARD|SASH1|ELK3|PDPN|CDKN1A|PPFIBP2|STK35|TUBB6|WDFY4|CHST15|SCIN|SPAG5|CUL7|HK2|MAP3K20|ARHGAP21|ABL2|HCN1|CCND1|EXOC4|RXRB|DHFR|ZC3H12C|DNAJC6|SLC38A2|TMEM8B|CTSE|TBC1D24|RAD51B|BCL11A|ZMYM3|DNASE2|RBP2|GPR137|SLC22A3|DDX39B|PPM1F|ADGRL4|SKA2|EHMT1|C1orf116|CDCA2|PCP4|MEF2C|PTGDR2|MCM10|EXO1|PKIG|SRL|LRRK1|HNRNPU|RRM2,"HADH, DENND5A, BASP1, HBEGF, DHX33"
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,0.0010584774006314,0.00645419511373742,0.45505986738723,0.622430452082194,1.21004015864028,193,ERO1B|ARF6|RPGR|LMBRD1|TRIP4|RNPS1|FAM76B|CCNQ|FBXO28|TMEM64|YBX3|PFKP|KLRK1|DNAJB11|KIAA1191|DACH2|EIF4H|DBI|SCP2|MBD2|SQOR|RNF125|VPS26C|POLR1F|GNL3|TBC1D24|ABHD10|BOD1L1|VAT1|RPUSD2|DAP|IREB2|TFRC|NUP35|SH3PXD2B|CSPP1|ALAS1|SH3BGRL|PECR|CCNYL1|MTRES1|CCDC93|PPIP5K2|USP6NL|ZNF141|ARHGAP29|AFG3L2|VAMP4|GOLIM4|MOSPD2|TBL2|IRAK4|MAP3K2|KBTBD8|TCN2|PKD2L2|IMPDH2|CBL|NKRF|GLOD4|FCER1G|PLAC8,"ERO1B, ARF6, RPGR, LMBRD1, TRIP4"
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,0.0160711027559931,0.0422549447529404,0.352487857583619,0.590929057221272,1.14867896111817,195,ERO1B|NT5E|SMURF1|HLA-DRB1|BCL6|LMBRD1|RELA|PRDM1|EPAS1|TRIP4|SDCBP2|PPP1R15A|NIPAL1|CRIM1|LGMN|ISG20|PLEKHM1|KRI1|GLCCI1|IL2RA|BACH2|JUNB|FAAH|C22orf39|NRBP1|ARF5|CCDC30|SC5D|NUP35|VPS37B|FEZ2|MAF1|DHRS13|PDCD11|UBASH3A|LRRC8C|TTC39B|ARHGAP29|CNR2|CCNK|LCN8|GALNT10|SLC46A3|DDIT4|FXYD5|DAPK3|ECEL1|CD8B|ARHGEF4|CDR2,"ERO1B, NT5E, SMURF1, HLA-DRB1, BCL6"
