pathway,pval,padj,log2err,ES,NES,size,leadingEdge,topGenes
KEGG_ABC_TRANSPORTERS,0.001224148231351,0.0126495317239603,0.45505986738723,0.750578547663755,1.39579868146646,39,ABCA6|ABCA8|ABCA9|ABCC8|ABCC6|ABCA7|ABCA3|ABCC12|ABCD3|ABCB7|ABCC4|ABCC1,"ABCA6, ABCA8, ABCA9, ABCC8, ABCC6"
KEGG_ACUTE_MYELOID_LEUKEMIA,0.00308934683606038,0.0217919135769984,0.431707695803346,0.699118269660142,1.30900811574127,52,KIT|MYC|STAT5A|RELA|PPARD|TCF7|PIK3R1|RAF1|CCND1|NFKB1|RARA|LEF1|ZBTB16|GRB2|NRAS|MAP2K1|PIK3CA,"KIT, MYC, STAT5A, RELA, PPARD"
KEGG_ADHERENS_JUNCTION,0.00583740084204028,0.0361918852206497,0.407017918923954,0.680722771566961,1.28564851981637,65,NLK|CSNK2A1|TGFBR2|YES1|NECTIN3|TCF7|RAC1|IGF1R|SNAI1|PARD3|CTNNA2|SMAD3|VCL|PTPRM|LEF1|TGFBR1|AFDN|TJP1|CREBBP|WASF2|LMO7|CTNNA1|FARP2|CDH1|WASF1|MAPK1|CSNK2A2|CSNK2B,"NLK, CSNK2A1, TGFBR2, YES1, NECTIN3"
KEGG_ALLOGRAFT_REJECTION,1.94080038862241e-05,0.000601648120472946,0.575610261071129,0.830516342861636,1.53333603946763,31,CD86|FAS|HLA-DRB3|HLA-DRB1|HLA-DQA2|HLA-E|CD40|HLA-DQA1|IL10|HLA-DRA,"CD86, FAS, HLA-DRB3, HLA-DRB1, HLA-DQA2"
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.00133459570078322,0.0127541274902144,0.45505986738723,0.682459942336438,1.296661485662,76,HLA-DRB3|HLA-DRB1|CTSL|PSME3|LGMN|HLA-DQA2|HLA-E|HLA-DQA1|CD74|HLA-DRA|IFNA6|KLRC3|CD4|KLRC1|IFNA7|IFNA14|HSPA1L|IFNA16|KIR2DL4|HSPA5|KIR3DL3|KIR2DL3|KIR2DL1,"HLA-DRB3, HLA-DRB1, CTSL, PSME3, LGMN"
KEGG_APOPTOSIS,0.00227539865847252,0.0184010500206908,0.431707695803346,0.666357471758027,1.2685465048174,80,IL1R1|IRAK2|IRAK3|TNFRSF10D|FAS|TNFRSF10A|RELA|PIK3R1|PRKAR1B|TNFRSF10B|NFKB1|PPP3CA|BIRC2|BID|BCL2|NFKBIA|PIK3CA|IL1RAP|NTRK1|PIK3R3|CAPN2|IRAK4|PIK3CB|RIPK1|PRKAR2A,"IL1R1, IRAK2, IRAK3, TNFRSF10D, FAS"
KEGG_ASTHMA,0.00754770160033341,0.0437431828071387,0.407017918923954,0.751344064382787,1.37963252087498,26,HLA-DRB3|HLA-DRB1|HLA-DQA2|CD40|HLA-DQA1|IL10|CCL11|HLA-DRA|EPX,"HLA-DRB3, HLA-DRB1, HLA-DQA2, CD40, HLA-DQA1"
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.0016659388683587,0.01475545854832,0.45505986738723,0.721896980170075,1.34764229789898,46,CD86|FAS|HLA-DRB3|HLA-DRB1|HLA-DQA2|HLA-E|CD40|HLA-DQA1|IL10|HLA-DRA|IFNA6|IFNA7|IFNA14|IFNA16,"CD86, FAS, HLA-DRB3, HLA-DRB1, HLA-DQA2"
KEGG_COLORECTAL_CANCER,0.00799606567442321,0.0437431828071387,0.380730400722792,0.683733122966065,1.28330536572231,55,MYC|TGFBR2|TCF7|PIK3R1|RAF1|RAC1|TGFB3|CCND1|SMAD3|LEF1|MSH3|TGFBR1|BCL2|AXIN1|MAP2K1|PIK3CA|PIK3R3|PIK3CB|FOS|TGFB2|MAPK1|AKT3,"MYC, TGFBR2, TCF7, PIK3R1, RAF1"
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.000792241289264359,0.00920980498769817,0.477270815362862,0.698854180818305,1.32151001776175,67,A2M|C1S|TFPI|C1R|BDKRB1|PLAUR|CD55|C7|CFH|F5|CD59|CFD|VWF|PLAU,"A2M, C1S, TFPI, C1R, BDKRB1"
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,9.40748898158591e-11,1.74979295057498e-08,0.839088935621274,0.696766305925664,1.350655117463,255,PDGFRA|IL1R1|IL18R1|IL6|HGF|KIT|BMPR1B|LIF|TNFRSF10D|INHBA|FAS|TNFRSF10A|CXCL9|IL1R2|IL7R|TGFBR2|IL24|CCR7|TSLP|CSF2RA|TNFRSF9|CCL22|KITLG|IL2RG|CLCF1|IL22RA1|OSMR|CXCL5|IL11|IFNW1|IL6ST|TGFB3|TNFRSF10B|XCL2|IL15RA|TNFRSF12A|CRLF2|EPOR|IFNLR1|IL4R|CD40|CXCL8|LIFR|IL10|CCL11|IL2RA|XCL1|IFNK|CCL21|IFNA6|BMP2|CXCL13|CXCL12|CCL7|IFNA7|IFNA14|TGFBR1|CSF1|PDGFC|IL11RA|IFNA16|LEPR|CCL13|INHBB|CXCL16|PLEKHO2|TNFRSF13C|IL1RAP|ACVR1B|CCR9,"PDGFRA, IL1R1, IL18R1, IL6, HGF"
