pathway,pval,padj,log2err,ES,NES,size,leadingEdge,topGenes
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.000581590306914199,0.0199844328865198,0.477270815362862,0.718574435240187,1.34683295772231,59,IGHV3-13|IGHV3-48|PIK3R1|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|IGKV3-15|IGKV3D-20|IGKV1D-16|BLK|DAPP1|IGKV1-12|IGKV1D-12|GRB2|IGKV3-11|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|AHCYL1|IGHV4-59,"IGHV3-13, IGHV3-48, PIK3R1, IGHV3-11, IGHV3-53"
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,8.96811073833323e-05,0.00536425883052154,0.538434096309916,0.648632443597043,1.24930482011101,186,IAPP|IL6|PTGER2|GLP1R|GGT5|YES1|IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|PRKAR1B|GNG7|FCGR3A|DPEP1|CALCRL|GNG11|IL10|IGKV3-15|IGKV3D-20|IGKV1D-16|GNAI3|ADM|IGKV1-12|IGKV1D-12|LHB|GNG5|CALCR|GNAI2|GNB4|PTGER4|PTHLH|IGKV3-11|CD3G|GNG12|ADCY2|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|POMC|TSHR|AHCYL1|IGHV4-59|CD247,"IAPP, IL6, PTGER2, GLP1R, GGT5"
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0.00170275482641135,0.0404404271272695,0.45505986738723,0.777779692060361,1.41964548014783,26,DCN|GPC3|VCAN|CSPG4|B3GAT1,"DCN, GPC3, VCAN, CSPG4, B3GAT1"
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,0.000764765024259939,0.0231460537312558,0.477270815362862,0.708850653246459,1.33748076126682,68,IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|JCHAIN|COLEC11|COLEC12|IGKV3-15|IGKV3D-20|IGKV1D-16|ALB|IGKV1-12|IGKV1D-12|APOB|IGKV3-11|FTL|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28,"IGHV3-13, IGHV3-48, IGHV3-11, IGHV3-53, IGHV3-7"
REACTOME_CD22_MEDIATED_BCR_REGULATION,0.00107688524328728,0.0299856839294647,0.45505986738723,0.765992496328894,1.40988117956023,34,IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|IGKV3-15|IGKV3D-20|IGKV1D-16|IGKV1-12|IGKV1D-12|IGKV3-11|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28,"IGHV3-13, IGHV3-48, IGHV3-11, IGHV3-53, IGHV3-7"
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,5.64065449021865e-05,0.00414075318259233,0.557332238758646,0.659401843378959,1.26695873737498,157,SLC16A1|TNFRSF10D|TNFRSF10A|SLC7A6|YES1|GYPC|IGHV3-13|IGHV3-48|PIK3R1|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|JCHAIN|OLR1|TNFRSF10B|GRB14|ITGAX|SIRPA|ATP1B3|CD74|ITGA6|CD177|IGKV3-15|IGKV3D-20|IGKV1D-16|SELP|INPP5D|MMP1|SLC7A11|IGKV1-12|IGKV1D-12|APOB|GRB2|PTPN11|NRAS|PIK3CA|SLC7A9|IGKV3-11|PROC|CD84|ANGPT4|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|ITGAL|CD48|IGHV4-59|PIK3CB|MERTK|ESAM|ITGA3|JAM3|FCER1G|SLC7A8|TEK|PECAM1|SLC7A5|GYPA|TSPAN7|SELE,"SLC16A1, TNFRSF10D, TNFRSF10A, SLC7A6, YES1"
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,0.000385060406241645,0.0148064894304823,0.49849310876659,0.840074274504481,1.51883434487713,20,DCN|CSGALNACT2|CHSY1|VCAN|CHST15|CHST9|CSPG4|CHST3,"DCN, CSGALNACT2, CHSY1, VCAN, CHST15"
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0.000439742942360323,0.0157818855980427,0.49849310876659,0.738744255323789,1.37437035215826,50,DCN|GPC3|CSGALNACT2|CHSY1|VCAN|DSEL|CHST15|CHST9|CSPG4|HEXB|B3GAT1|CHST3,"DCN, GPC3, CSGALNACT2, CHSY1, VCAN"
REACTOME_COMPLEMENT_CASCADE,0.000150773852941339,0.00785483137097621,0.518848077743792,0.70556948667843,1.34033326539716,85,C1S|C1R|IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|CD55|IGHV3-33|IGHV3-30|C7|IGKV1-33|IGKV1D-33|CFH|COLEC11|CD59|CFD|CFHR1|IGKV3-15|IGKV3D-20|IGKV1D-16|IGKV1-12|IGKV1D-12|CFHR3|CR2|IGKV3-11|C5AR1|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|IGHV4-59|CFHR4|C9|C4B_2|C4A|C4B|SERPING1,"C1S, C1R, IGHV3-13, IGHV3-48, IGHV3-11"
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,8.02236178226053e-08,1.61951428479384e-05,0.704975715167238,0.785936232844751,1.48741063204809,73,PDGFRA|FGF7|FGF2|HGF|KIT|CD86|EREG|HBEGF|TGFA|ESR1|PIK3R1|KITLG|IRS1|RAC1|AREG|FGF10,"PDGFRA, FGF7, FGF2, HGF, KIT"
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,8.29128147995031e-05,0.00515016138081529,0.538434096309916,0.779699294301319,1.44596519289906,43,C1S|C1R|IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|COLEC11|IGKV3-15|IGKV3D-20|IGKV1D-16|IGKV1-12|IGKV1D-12|IGKV3-11|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28,"C1S, C1R, IGHV3-13, IGHV3-48, IGHV3-11"
