pathway,pval,padj,log2err,ES,NES,size,leadingEdge,topGenes
KEGG_ABC_TRANSPORTERS,0.000673177567682334,0.00766596584963398,0.477270815362862,0.752589426822472,1.40531660228771,39,ABCA6|ABCA8|ABCA9|ABCC8|ABCC6|ABCA7|ABCA3|ABCC12|ABCD3|ABCB7|ABCC4|ABCC1,"ABCA6, ABCA8, ABCA9, ABCC8, ABCC6"
KEGG_ACUTE_MYELOID_LEUKEMIA,0.00427582813668344,0.0284037154793971,0.407017918923954,0.697004515301401,1.31052661820638,52,KIT|MYC|STAT5A|RELA|PPARD|TCF7|PIK3R1|RAF1|CCND1|NFKB1|RARA|LEF1|ZBTB16|GRB2|NRAS|MAP2K1|PIK3CA,"KIT, MYC, STAT5A, RELA, PPARD"
KEGG_ADHERENS_JUNCTION,0.00509379368979664,0.0314550899369946,0.407017918923954,0.680461380443133,1.29062705203658,65,NLK|CSNK2A1|TGFBR2|YES1|NECTIN3|TCF7|RAC1|IGF1R|SNAI1|PARD3|CTNNA2|SMAD3|VCL|PTPRM|LEF1|TGFBR1|AFDN|TJP1|CREBBP|WASF2|LMO7|CTNNA1|FARP2|CDH1|WASF1|CSNK2A2|MAPK1|CSNK2B,"NLK, CSNK2A1, TGFBR2, YES1, NECTIN3"
KEGG_ALLOGRAFT_REJECTION,2.58306995125991e-05,0.000716038675312126,0.575610261071129,0.829848379388031,1.53835096576049,31,CD86|FAS|HLA-DRB3|HLA-DRB1|HLA-DQA2|HLA-E|HLA-DQA1|CD40|IL10|HLA-DRA,"CD86, FAS, HLA-DRB3, HLA-DRB1, HLA-DQA2"
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.00109529309360562,0.0101862257705323,0.45505986738723,0.683526036559478,1.30431490783236,76,HLA-DRB3|HLA-DRB1|CTSL|PSME3|LGMN|HLA-DQA2|HLA-E|HLA-DQA1|CD74|KLRC3|HLA-DRA|IFNA6|CD4|KLRC1|IFNA7|IFNA14|HSPA1L|IFNA16|KIR2DL4|HSPA5|KIR3DL3|KIR2DL3|KIR2DL1,"HLA-DRB3, HLA-DRB1, CTSL, PSME3, LGMN"
KEGG_APOPTOSIS,0.00286736059765489,0.0222220446318254,0.431707695803346,0.663143505127286,1.2679376939085,80,IL1R1|IRAK2|IRAK3|TNFRSF10D|FAS|TNFRSF10A|RELA|PIK3R1|PRKAR1B|TNFRSF10B|NFKB1|PPP3CA|BIRC2|BID|BCL2|NFKBIA|PIK3CA|IL1RAP|NTRK1|PIK3R3|CAPN2|IRAK4|PIK3CB,"IL1R1, IRAK2, IRAK3, TNFRSF10D, FAS"
KEGG_ASTHMA,0.00769715620221524,0.0409048872460581,0.407017918923954,0.748972710373263,1.38081649728753,26,HLA-DRB3|HLA-DRB1|HLA-DQA2|HLA-DQA1|CD40|IL10|CCL11|HLA-DRA|EPX|MS4A2,"HLA-DRB3, HLA-DRB1, HLA-DQA2, HLA-DQA1, CD40"
KEGG_AUTOIMMUNE_THYROID_DISEASE,0.00137141155808757,0.0121467880859184,0.45505986738723,0.727642750821642,1.3640469121418,46,CD86|FAS|HLA-DRB3|HLA-DRB1|HLA-DQA2|HLA-E|HLA-DQA1|CD40|IL10|HLA-DRA|IFNA6|IFNA7|IFNA14|IFNA16,"CD86, FAS, HLA-DRB3, HLA-DRB1, HLA-DQA2"
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.00949061730540365,0.0459757317249452,0.380730400722792,0.598537651583601,1.15843735863623,178,CXCL9|DOCK2|RELA|CCR7|PIK3R1|CCL22|GRK5|CXCL5|RAF1|VAV3|RAC1|GRK3|GNG7|XCL2|ELMO1|CXCL8|PARD3|NFKB1|GNG11|CCL11|XCL1|CCL21|NFKBIB|PTK2B|CXCL13|CXCL12|VAV2|PLCB4|CCL7|GNAI3|NFKBIA|GNG5|GRB2|CCL13|GNB4|GNAI2|FOXO3|CXCL16|NRAS|MAP2K1|PIK3CA|CCR9|ADCY2|GNG12|GRK7|PIK3R3|CCR5|CCL5|CCL3|ROCK1|CCR3|PIK3CB|MAPK1|ITK|CXCR4|AKT3|GRK1|GSK3A|CRKL|CXCL10|ADCY6|SHC3|CRK|PRKCB|CXCL3|LYN|GNG2|PIK3CG|SHC4,"CXCL9, DOCK2, RELA, CCR7, PIK3R1"
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.00874334070676697,0.0451739269849627,0.380730400722792,0.653647552999993,1.24131627958841,67,MYC|STAT5A|ABL1|TGFBR2|RELA|CDKN1A|PIK3R1|RAF1|TGFB3|CCND1|NFKB1|CDKN1B|SMAD3|TGFBR1|CBLB|PTPN11|NFKBIA|GRB2|NRAS|MAP2K1|PIK3CA|PIK3R3|HDAC2|PIK3CB|CBL|TGFB2|MAPK1|AKT3|CRKL|SHC3|CRK|PIK3CG|SHC4,"MYC, STAT5A, ABL1, TGFBR2, RELA"
