pathway,pval,padj,log2err,ES,NES,size,leadingEdge,topGenes
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.000544955479545218,0.0183354812388652,0.477270815362862,0.719590682309118,1.35440868544216,59,IGHV3-13|IGHV3-48|PIK3R1|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|IGKV3-15|IGKV3D-20|IGKV1D-16|BLK|DAPP1|IGKV1-12|IGKV1D-12|GRB2|IGKV3-11|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|AHCYL1|IGHV4-59,"IGHV3-13, IGHV3-48, PIK3R1, IGHV3-11, IGHV3-53"
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,7.61445307943226e-05,0.00468951882820103,0.538434096309916,0.647632908479193,1.25291133719073,186,IAPP|IL6|PTGER2|GLP1R|GGT5|YES1|IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|PRKAR1B|GNG7|FCGR3A|DPEP1|CALCRL|GNG11|IL10|IGKV3-15|IGKV3D-20|IGKV1D-16|ADM|GNAI3|IGKV1-12|IGKV1D-12|LHB|GNG5|CALCR|GNB4|GNAI2|PTGER4|IGKV3-11|PTHLH|CD3G|ADCY2|GNG12|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|POMC|TSHR|AHCYL1|IGHV4-59|CD247,"IAPP, IL6, PTGER2, GLP1R, GGT5"
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0.002201403611725,0.0444408354116984,0.431707695803346,0.778622072439816,1.42675647373129,26,DCN|GPC3|VCAN|CSPG4|B3GAT1,"DCN, GPC3, VCAN, CSPG4, B3GAT1"
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,0.000430629181413067,0.0151188288691761,0.49849310876659,0.707387685927447,1.34042034221279,68,IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|JCHAIN|COLEC11|COLEC12|IGKV3-15|IGKV3D-20|IGKV1D-16|ALB|IGKV1-12|IGKV1D-12|APOB|IGKV3-11|FTL|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28,"IGHV3-13, IGHV3-48, IGHV3-11, IGHV3-53, IGHV3-7"
REACTOME_CD22_MEDIATED_BCR_REGULATION,0.00118733244766264,0.0309280952092767,0.45505986738723,0.765264310989912,1.41422446970299,34,IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|IGKV3-15|IGKV3D-20|IGKV1D-16|IGKV1-12|IGKV1D-12|IGKV3-11|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|IGHV4-59,"IGHV3-13, IGHV3-48, IGHV3-11, IGHV3-53, IGHV3-7"
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,6.03519176872149e-05,0.00406118112770217,0.557332238758646,0.660232623725301,1.27414592195381,157,SLC16A1|TNFRSF10D|TNFRSF10A|SLC7A6|YES1|GYPC|IGHV3-13|IGHV3-48|PIK3R1|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|JCHAIN|OLR1|TNFRSF10B|GRB14|ITGAX|SIRPA|ATP1B3|CD74|ITGA6|CD177|IGKV3-15|IGKV3D-20|IGKV1D-16|SELP|INPP5D|MMP1|SLC7A11|IGKV1-12|IGKV1D-12|APOB|PTPN11|GRB2|NRAS|SLC7A9|PIK3CA|IGKV3-11|PROC|CD84|ANGPT4|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|ITGAL|CD48|IGHV4-59|PIK3CB|MERTK|ESAM|ITGA3|JAM3|FCER1G|SLC7A8|TEK|PECAM1|GYPA|SLC7A5,"SLC16A1, TNFRSF10D, TNFRSF10A, SLC7A6, YES1"
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,0.000416958543405087,0.0149641788355381,0.49849310876659,0.840540675471999,1.52552791374321,20,DCN|CSGALNACT2|CHSY1|VCAN|CHST15|CHST9|CSPG4|CHST3,"DCN, CSGALNACT2, CHSY1, VCAN, CHST15"
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0.000218791050020883,0.0108184589631699,0.518848077743792,0.738726801233403,1.38001158512613,50,DCN|GPC3|CSGALNACT2|CHSY1|VCAN|DSEL|CHST15|CHST9|CSPG4|HEXB|B3GAT1|CHST3,"DCN, GPC3, CSGALNACT2, CHSY1, VCAN"
REACTOME_COMPLEMENT_CASCADE,7.84006243724011e-05,0.00468951882820103,0.538434096309916,0.704834483100475,1.34468688393954,85,C1S|C1R|IGHV3-13|IGHV3-48|IGHV3-11|IGHV3-53|IGHV3-7|IGHV3-23|CD55|C7|IGHV3-33|IGHV3-30|IGKV1-33|IGKV1D-33|CFH|COLEC11|CD59|CFD|CFHR1|IGKV3-15|IGKV3D-20|IGKV1D-16|IGKV1-12|IGKV1D-12|CFHR3|CR2|IGKV3-11|C5AR1|IGKV2-28|IGKV2-30|IGKV2D-40|IGKV2D-30|IGKV2D-28|CFHR4|IGHV4-59|C9|C4B_2|C4A|C4B|SERPING1,"C1S, C1R, IGHV3-13, IGHV3-48, IGHV3-11"
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,5.19150527078242e-08,1.0480351265392e-05,0.719512826338911,0.786737478557971,1.49526900948488,73,PDGFRA|FGF7|FGF2|HGF|KIT|CD86|EREG|HBEGF|TGFA|ESR1|PIK3R1|KITLG|IRS1|RAC1|AREG|FGF10,"PDGFRA, FGF7, FGF2, HGF, KIT"
